"fid,N,10,0","c_Degrees,N,24,15","xcoord,N,24,15","ycoord,N,24,15","EM_HK_1250,N,21,5","2516_19HA,N,21,5","2515_19HD,N,21,5","31251837HD,N,21,5","2516_19HD,N,21,5","6251819HD,N,21,5","EM_HKA_125,N,21,5","31251537HD,N,21,5","2517_19HD,N,21,5","2517_19HA,N,21,5","6251619HD,N,21,5","EM_HK_2500,N,21,5","6251619HA,N,21,5","EM_HKA_250,N,21,5","6251519HD,N,21,5","6251719HA,N,21,5","6251719HD,N,21,5","2516_37HA,N,21,5","2516_37HD,N,21,5","31251637HD,N,21,5","31251637HA,N,21,5","2517_37HA,N,21,5","31251737HD,N,21,5","31251737HA,N,21,5"
0.0000,0.1700,-60.6051,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1725,-60.6026,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1750,-60.6001,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1775,-60.5976,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1800,-60.5951,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1825,-60.5926,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1850,-60.5901,-37.2746,264.7744,262.6100,262.0200,261.3300,257.5500,260.5400,262.1747,259.3600,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.5900,264.7000,264.2200,259.0100,263.2500
0.0000,0.1875,-60.5876,-37.2746,264.7744,262.6100,262.0200,260.7500,257.5500,260.5400,262.1747,259.1400,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.4500,264.2800,264.2200,258.6800,263.1600
0.0000,0.1900,-60.5851,-37.2746,264.7744,262.6100,262.0200,260.7500,257.5500,260.5400,262.1747,259.1400,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.4500,264.2800,264.2200,258.6800,263.1600
0.0000,0.1925,-60.5826,-37.2746,264.7744,262.6100,262.0200,260.7500,257.5500,260.5400,262.1747,259.1400,257.8200,262.1300,258.2800,266.3926,261.1900,263.5252,260.5200,261.1800,258.2000,265.0400,258.7800,258.4500,264.2800,264.2200,258.6800,263.1600
