deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12
0.4325,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.435,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4375,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.44,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4425,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.445,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4475,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.45,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4525,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.455,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4575,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.46,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4625,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.465,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4675,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.47,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4725,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.475,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4775,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.48,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.4825,249.20401,249.51837,250.39937,241.29999,241.17242,244.75989,244.33,243.94962
0.485,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.4875,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.49,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.4925,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.495,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.4975,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5025,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.505,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5075,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.51,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5125,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.515,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5175,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.52,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5225,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.525,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5275,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.53,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5325,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.535,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5375,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.54,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5425,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.545,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5475,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.55,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5525,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.555,246.09032,246.64455,240.79715,241.29999,240.02271,241.4595,244.33,246.34314
0.5575,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.56,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5625,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.565,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5675,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.57,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5725,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.575,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5775,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.58,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5825,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.585,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5875,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.59,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5925,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.595,246.09032,246.64455,240.79715,237.92,240.02271,241.4595,243.39,246.34314
0.5975,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6025,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.605,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6075,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.61,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6125,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.615,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6175,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.62,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6225,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.625,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6275,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.63,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6325,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.635,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6375,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.64,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
0.6425,246.09032,246.64455,247.44209,237.92,246.1714,241.4595,243.39,246.41411
