deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0.2625,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.403129,-35.666424
0.265,242.91696,244.40839,241.54404,240.98,236.95233,236.57683,246.00999,244.36584,-60.400722,-35.665748
0.2675,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.398316,-35.665071
0.27,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.395909,-35.664395
0.2725,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.393502,-35.663718
0.275,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.391095,-35.663042
0.2775,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.388689,-35.662365
0.28,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.386282,-35.661689
0.2825,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.383875,-35.661012
0.285,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.381468,-35.660335
0.2875,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.379062,-35.659659
0.29,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.376655,-35.658982
0.2925,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.374248,-35.658306
0.295,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.371842,-35.657629
0.2975,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.369435,-35.656953
0.3,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.367028,-35.656276
0.3025,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.364621,-35.6556
0.305,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.362215,-35.654923
0.3075,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.359808,-35.654247
0.31,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.357401,-35.65357
0.3125,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.354995,-35.652894
0.315,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.352588,-35.652217
0.3175,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.350181,-35.651541
0.32,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.347774,-35.650864
0.3225,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.345368,-35.650188
0.325,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.342961,-35.649511
0.3275,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.340554,-35.648835
0.33,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.338147,-35.648158
0.3325,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.335741,-35.647481
0.335,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.333334,-35.646805
0.3375,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.330927,-35.646128
0.34,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.328521,-35.645452
0.3425,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.326114,-35.644775
0.345,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.323707,-35.644099
0.3475,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.3213,-35.643422
0.35,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.318894,-35.642746
0.3525,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.316487,-35.642069
0.355,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.31408,-35.641393
0.3575,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.311674,-35.640716
0.36,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.309267,-35.64004
0.3625,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.30686,-35.639363
0.365,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.304453,-35.638687
0.3675,242.91696,244.40839,241.54404,236.26999,236.95233,236.57683,240.87999,244.36584,-60.302047,-35.63801
0.37,242.91696,244.40839,240.51468,236.26999,235.11809,236.57683,240.87999,245.03392,-60.29964,-35.637334
0.3725,242.91696,244.40839,240.51468,236.26999,235.11809,236.57683,240.87999,245.03392,-60.297233,-35.636657
0.375,242.91696,244.40839,240.51468,236.26999,235.11809,236.57683,240.87999,245.03392,-60.294826,-35.635981
0.3775,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.29242,-35.635304
0.38,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.290013,-35.634627
0.3825,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.287606,-35.633951
0.385,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.2852,-35.633274
0.3875,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.282793,-35.632598
0.39,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.280386,-35.631921
0.3925,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.277979,-35.631245
0.395,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.275573,-35.630568
0.3975,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.273166,-35.629892
0.4,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.270759,-35.629215
0.4025,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.268353,-35.628539
0.405,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.265946,-35.627862
0.4075,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.263539,-35.627186
0.41,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.261132,-35.626509
0.4125,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.258726,-35.625833
0.415,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.256319,-35.625156
0.4175,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.253912,-35.62448
0.42,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.251505,-35.623803
0.4225,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.249099,-35.623127
0.425,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.246692,-35.62245
0.4275,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.244285,-35.621773
0.43,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.241879,-35.621097
0.4325,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.239472,-35.62042
0.435,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.237065,-35.619744
0.4375,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.234658,-35.619067
0.44,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.232252,-35.618391
0.4425,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.229845,-35.617714
0.445,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.227438,-35.617038
0.4475,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.225032,-35.616361
0.45,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.222625,-35.615685
0.4525,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.220218,-35.615008
0.455,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.217811,-35.614332
0.4575,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.215405,-35.613655
0.46,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.212998,-35.612979
0.4625,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.210591,-35.612302
0.465,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.208184,-35.611626
0.4675,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.205778,-35.610949
0.47,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.203371,-35.610273
0.4725,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.200964,-35.609596
0.475,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.198558,-35.608919
0.4775,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.196151,-35.608243
0.48,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.193744,-35.607566
0.4825,242.91696,244.40839,243.04044,236.26999,233.23494,236.57683,240.87999,246.11696,-60.191337,-35.60689
0.485,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.188931,-35.606213
0.4875,242.91696,244.40839,243.04044,234.18999,233.23494,236.57683,239.34999,246.11696,-60.186524,-35.605537
