"fid,N,10,0","c_Degrees,N,24,15",xcoord,ycoord,EM_h_K_12,EM_h_K_25,EM_h_KA_25,EM_h_KA_125,NSIDC_F17_37HA,NSIDC_F17_19HD,NSIDC_F16_19HA,NSIDC_F16_37HA,NSIDC_F16_19HD,NSIDC_F16_37HD,NSIDC_F17_19HA,NSIDC_F15_19HD
0.00000,0.28500,-60.49011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.28750,-60.48761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.29000,-60.48511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.29250,-60.48261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.29500,-60.48011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.29750,-60.47761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.30000,-60.47511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.30250,-60.47261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.30500,-60.47011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.30750,-60.46761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.31000,-60.46511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.31250,-60.46261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.31500,-60.46011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.31750,-60.45761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.32000,-60.45511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.32250,-60.45261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.32500,-60.45011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.32750,-60.44761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.33000,-60.44511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.33250,-60.44261,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.33500,-60.44011,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.33750,-60.43761,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
0.00000,0.34000,-60.43511,-37.27456,262.82788,259.27850,258.17883,259.43109,264.22000,257.82001,262.60999,265.04001,257.54999,258.78000,262.13000,262.01999
